😀	γελαστό πρόσωπο
🙍🏾‍♂️	άντρας συνοφρυωμένος: μεσαίος-σκούρος τόνος δέρματος
🙍🏾‍♂	άντρας συνοφρυωμένος: μεσαίος-σκούρος τόνος δέρματος
🙍🏿‍♂️	άντρας συνοφρυωμένος: σκούρος τόνος δέρματος
🙍🏿‍♂	άντρας συνοφρυωμένος: σκούρος τόνος δέρματος
🙍‍♀️	γυναίκα συνοφρυώνεται
🙍‍♀	γυναίκα συνοφρυώνεται
🙍🏻‍♀️	γυναίκα συνοφρυώνεται: ανοιχτόχρωμος τόνος δέρματος
🙍🏻‍♀	γυναίκα συνοφρυώνεται: ανοιχτόχρωμος τόνος δέρματος
🙍🏼‍♀️	γυναίκα συνοφρυωμένος: μεσαίος-ανοιχτός τόνος δέρματος
🙍🏼‍♀	γυναίκα συνοφρυωμένος: μεσαίος-ανοιχτός τόνος δέρματος
🙍🏽‍♀️	γυναίκα συνοφρυώνεται: μεσαίος τόνος δέρματος
🙍🏽‍♀	γυναίκα συνοφρυώνεται: μεσαίος τόνος δέρματος
🙍🏾‍♀️	γυναίκα συνοφρυώνεται: μεσαίος-σκούρος τόνος δέρματος
🙍🏾‍♀	γυναίκα συνοφρυώνεται: μεσαίος-σκούρος τόνος δέρματος
🙍🏿‍♀️	γυναίκα συνοφρυώνεται: σκούρος τόνος δέρματος
🙍🏿‍♀	γυναίκα συνοφρυώνεται: σκούρος τόνος δέρματος
🙎	πρόσωπο που μουτρώνει
🙎🏻	άτομο που μουρυάζει: ανοιχτόχρωμος τόνος δέρματος
🙎🏼	άτομο που μουρυάζει: μεσαίος-ανοιχτός τόνος δέρματος
🙎🏽	άτομο που μουρυάζει: μεσαίος τόνος δέρματος
🙎🏾	άτομο που μουρυάζει: μεσαίος-σκούρος τόνος δέρματος
🙎🏿	άτομο που μουρυάζει: σκούρος τόνος δέρματος
🙎‍♂️	άντρας που μουτρώνει
🙎‍♂	άντρας που μουτρώνει
🙎🏻‍♂️	άντρας που μουρυάζει: ανοιχτόχρωμος τόνος δέρματος
🙎🏻‍♂	άντρας που μουρυάζει: ανοιχτόχρωμος τόνος δέρματος
🙎🏼‍♂️	άντρας που μουρυάζει: μεσαίος-ανοιχτός τόνος δέρματος
🙎🏼‍♂	άντρας που μουρυάζει: μεσαίος-ανοιχτός τόνος δέρματος
🙎🏽‍♂️	άντρας που μουρυάζει: μεσαίος τόνος δέρματος
🙎🏽‍♂	άντρας που μουρυάζει: μεσαίος τόνος δέρματος
🙎🏾‍♂️	άντρας που μουρυάζει: μεσαίος-σκούρος τόνος δέρματος
🙎🏾‍♂	άντρας που μουρυάζει: μεσαίος-σκούρος τόνος δέρματος
🙎🏿‍♂️	άντρας που μουρυάζει: σκούρος τόνος δέρματος
🙎🏿‍♂	άντρας που μουρυάζει: σκούρος τόνος δέρματος
🙎‍♀️	γυναίκα που μουτρώνει
🙎‍♀	γυναίκα που μουτρώνει
🙎🏻‍♀️	γυναίκα που μουρυάζει: ανοιχτόχρωμος τόνος δέρματος
🙎🏻‍♀	γυναίκα που μουρυάζει: ανοιχτόχρωμος τόνος δέρματος
🙎🏼‍♀️	γυναίκα που μουρυάζει: μεσαίος-ανοιχτός τόνος δέρματος
🙎🏼‍♀	γυναίκα που μουρυάζει: μεσαίος-ανοιχτός τόνος δέρματος
🙎🏽‍♀️	γυναίκα που μουρυάζει: μεσαίος τόνος δέρματος
🙎🏽‍♀	γυναίκα που μουρυάζει: μεσαίος τόνος δέρματος
🙎🏾‍♀️	γυναίκα που μουτρώνει: μεσαίος-σκούρος τόνος δέρματος
🙎🏾‍♀	γυναίκα που μουτρώνει: μεσαίος-σκούρος τόνος δέρματος
🙎🏿‍♀️	γυναίκα που μουρυάζει: σκούρος τόνος δέρματος
🙎🏿‍♀	γυναίκα που μουρυάζει: σκούρος τόνος δέρματος
🙅	άτομο που χειρονομεί ΟΧΙ
🙅🏻	άτομο που χειρονομεί ΟΧΙ: ανοιχτόχρωμος τόνος δέρματος
🙅🏼	άτομο που χειρονομεί ΟΧΙ: μεσαίος-ανοιχτός τόνος δέρματος
🙅🏽	άτομο που χειρονομεί ΟΧΙ: μεσαίος τόνος δέρματος
🙅🏾	άτομο που χειρονομεί ΟΧΙ: μεσαίος-σκούρος τόνος δέρματος
🙅🏿	άτομο που χειρονομεί ΟΧΙ: σκούρος τόνος δέρματος
🙅‍♂️	άνθρωπος που χειρονομεί ΟΧΙ
🙅‍♂	άνθρωπος που χειρονομεί ΟΧΙ
🙅🏻‍♂️	άνδρας που χειρονομεί ΟΧΙ: ανοιχτόχρωμος τόνος δέρματος
🙅🏻‍♂	άνδρας που χειρονομεί ΟΧΙ: ανοιχτόχρωμος τόνος δέρματος
🙅🏼‍♂️	άνδρας που χειρονομεί ΟΧΙ: μεσαίος-ανοιχτός τόνος δέρματος
🙅🏼‍♂	άνδρας που χειρονομεί ΟΧΙ: μεσαίος-ανοιχτός τόνος δέρματος
🙅🏽‍♂️	άνδρας που χειρονομεί ΟΧΙ: μεσαίος τόνος δέρματος
🙅🏽‍♂	άνδρας που χειρονομεί ΟΧΙ: μεσαίος τόνος δέρματος
🙅🏾‍♂️	άνδρας που χειρονομεί ΟΧΙ: μεσαίος-σκούρος τόνος δέρματος
🙅🏾‍♂	άνδρας που χειρονομεί ΟΧΙ: μεσαίος-σκούρος τόνος δέρματος
🙅🏿‍♂️	άνδρας που χειρονομεί ΟΧΙ: σκούρος τόνος δέρματος
🙅🏿‍♂	άνδρας που χειρονομεί ΟΧΙ: σκούρος τόνος δέρματος
🙅‍♀️	γυναίκα που χειρονομεί ΟΧΙ
🙅‍♀	γυναίκα που χειρονομεί ΟΧΙ
🙅🏻‍♀️	γυναίκα που χειρονομεί ΟΧΙ: ανοιχτόχρωμος τόνος δέρματος
🙅🏻‍♀	γυναίκα που χειρονομεί ΟΧΙ: ανοιχτόχρωμος τόνος δέρματος
🙅🏼‍♀️	γυναίκα που χειρονομεί ΟΧΙ: μεσαίος-ανοιχτός τόνος δέρματος
🙅🏼‍♀	γυναίκα που χειρονομεί ΟΧΙ: μεσαίος-ανοιχτός τόνος δέρματος
🙅🏽‍♀️	γυναίκα που χειρονομεί ΟΧΙ: μεσαίος τόνος δέρματος
🙅🏽‍♀	γυναίκα που χειρονομεί ΟΧΙ: μεσαίος τόνος δέρματος
🙅🏾‍♀️	γυναίκα που χειρονομεί ΟΧΙ: μεσαίος-σκούρος τόνος δέρματος
🙅🏾‍♀	γυναίκα που χειρονομεί ΟΧΙ: μεσαίος-σκούρος τόνος δέρματος
🙅🏿‍♀️	γυναίκα που χειρονομεί ΟΧΙ: σκούρος τόνος δέρματος
🙅🏿‍♀	γυναίκα που χειρονομεί ΟΧΙ: σκούρος τόνος δέρματος
🙆	άτομο που χειρονομεί ΟΚ
🙆🏻	άτομο που χειρονομεί ΟΚ: ανοιχτόχρωμος τόνος δέρματος
🙆🏼	άτομο που χειρονομεί ΟΚ: μεσαίος-ανοιχτός τόνος δέρματος
🙆🏽	άτομο που χειρονομεί ΟΚ: μεσαίος τόνος δέρματος
🙆🏾	άτομο που χειρονομεί ΟΚ: μεσαίος-σκούρος τόνος δέρματος
🙆🏿	άτομο που χειρονομεί ΟΚ: σκούρος τόνος δέρματος
🙆‍♂️	άνδρας χειρονομεί ΟΚ
🙆‍♂	άνδρας χειρονομεί ΟΚ
🙆🏻‍♂️	άνδρας χειρονομεί ΟΚ: ανοιχτόχρωμος τόνος δέρματος
🙆🏻‍♂	άνδρας χειρονομεί ΟΚ: ανοιχτόχρωμος τόνος δέρματος
🙆🏼‍♂️	άνδρας χειρονομεί ΟΚ: μεσαίος-ανοιχτός τόνος δέρματος
🙆🏼‍♂	άνδρας χειρονομεί ΟΚ: μεσαίος-ανοιχτός τόνος δέρματος
🙆🏽‍♂️	άνδρας χειρονομεί ΟΚ: μεσαίος τόνος δέρματος
🙆🏽‍♂	άνδρας χειρονομεί ΟΚ: μεσαίος τόνος δέρματος
🙆🏾‍♂️	άνδρας χειρονομεί ΟΚ: μεσαίος-σκούρος τόνος δέρματος
🙆🏾‍♂	άνδρας χειρονομεί ΟΚ: μεσαίος-σκούρος τόνος δέρματος
🙆🏿‍♂️	άνδρας χειρονομεί ΟΚ: σκούρος τόνος δέρματος
🙆🏿‍♂	άνδρας χειρονομεί ΟΚ: σκούρος τόνος δέρματος
🙆‍♀️	γυναίκα που χειρονομεί εντάξει
🙆‍♀	γυναίκα που χειρονομεί εντάξει
🙆🏻‍♀️	γυναίκα που χειρονομεί ΟΚ: ανοιχτόχρωμος τόνος δέρματος
🙆🏻‍♀	γυναίκα που χειρονομεί ΟΚ: ανοιχτόχρωμος τόνος δέρματος
🙆🏼‍♀️	γυναίκα που χειρονομεί ΟΚ: μεσαίος-ανοιχτός τόνος δέρματος
🙆🏼‍♀	γυναίκα που χειρονομεί ΟΚ: μεσαίος-ανοιχτός τόνος δέρματος
🙆🏽‍♀️	γυναίκα που χειρονομεί ΟΚ: μεσαίος τόνος δέρματος
🙆🏽‍♀	γυναίκα που χειρονομεί ΟΚ: μεσαίος τόνος δέρματος
🙆🏾‍♀️	γυναίκα που χειρονομεί ΟΚ: μεσαίος-σκούρος τόνος δέρματος
🙆🏾‍♀	γυναίκα που χειρονομεί ΟΚ: μεσαίος-σκούρος τόνος δέρματος
🙆🏿‍♀️	γυναίκα που χειρονομεί ΟΚ: σκούρος τόνος δέρματος
🙆🏿‍♀	γυναίκα που χειρονομεί ΟΚ: σκούρος τόνος δέρματος
💁	πρόσωπο που ανατρέπει το χέρι
💁🏻	χεράκι που γέρνει: ανοιχτόχρωμος τόνος δέρματος
💁🏼	χεράκι που γέρνει: μεσαίος-ανοιχτός τόνος δέρματος
💁🏽	χεράκι που κάνει ανατροπή: μεσαίος τόνος δέρματος
💁🏾	χεράκι που κάνει ανατροπή: μεσαίος-σκούρος τόνος δέρματος
💁🏿	χεράκι αιχμής: σκούρο δέρμα
💁‍♂️	άνθρωπος ανατροπή χέρι
💁‍♂	άνθρωπος ανατροπή χέρι
💁🏻‍♂️	ανδρικό χέρι: ανοιχτόχρωμη επιδερμίδα
💁🏻‍♂	ανδρικό χέρι: ανοιχτόχρωμη επιδερμίδα
💁🏼‍♂️	ανδρικό χεράκι: μεσαίος-ανοιχτός τόνος δέρματος
💁🏼‍♂	ανδρικό χεράκι: μεσαίος-ανοιχτός τόνος δέρματος
💁🏽‍♂️	ανδρικό χέρι: μεσαίος τόνος δέρματος
💁🏽‍♂	ανδρικό χέρι: μεσαίος τόνος δέρματος
💁🏾‍♂️	ανδρικό χέρι: μεσαίος-σκούρος τόνος δέρματος
💁🏾‍♂	ανδρικό χέρι: μεσαίος-σκούρος τόνος δέρματος
💁🏿‍♂️	ανδρικό χέρι: σκούρο δέρμα
💁🏿‍♂	ανδρικό χέρι: σκούρο δέρμα
💁‍♀️	γυναίκα ανατροπή χέρι
💁‍♀	γυναίκα ανατροπή χέρι
💁🏻‍♀️	γυναικείο χέρι: ανοιχτόχρωμος τόνος δέρματος
💁🏻‍♀	γυναικείο χέρι: ανοιχτόχρωμος τόνος δέρματος
💁🏼‍♀️	γυναικείο χέρι: μεσαίο-ανοιχτόχρωμος τόνος δέρματος
💁🏼‍♀	γυναικείο χέρι: μεσαίο-ανοιχτόχρωμος τόνος δέρματος
💁🏽‍♀️	γυναικείο χέρι: μεσαίος τόνος δέρματος
💁🏽‍♀	γυναικείο χέρι: μεσαίος τόνος δέρματος
💁🏾‍♀️	γυναικείο χέρι: μεσαίος-σκούρος τόνος δέρματος
💁🏾‍♀	γυναικείο χέρι: μεσαίος-σκούρος τόνος δέρματος
💁🏿‍♀️	γυναικείο χέρι: σκούρο δέρμα
💁🏿‍♀	γυναικείο χέρι: σκούρο δέρμα
🙋	πρόσωπο που σηκώνει το χέρι
🙋🏻	άτομο που σηκώνει το χέρι: ανοιχτόχρωμος τόνος δέρματος
