😀	ನಗುವ ಮುಖ
🙍🏼‍♂️	ಪುರುಷ ಗಂಟಿಕ್ಕಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🙍🏼‍♂	ಪುರುಷ ಗಂಟಿಕ್ಕಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🙍🏽‍♂️	ಪುರುಷ ಗಂಟಿಕ್ಕಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🙍🏽‍♂	ಪುರುಷ ಗಂಟಿಕ್ಕಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🙍🏾‍♂️	ಪುರುಷ ಗಂಟಿಕ್ಕಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🙍🏾‍♂	ಪುರುಷ ಗಂಟಿಕ್ಕಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🙍🏿‍♂️	ಗಂಟಿಕ್ಕಿದ ಮನುಷ್ಯ: ಗಾಢ ಚರ್ಮದ ಬಣ್ಣ
🙍🏿‍♂	ಗಂಟಿಕ್ಕಿದ ಮನುಷ್ಯ: ಗಾಢ ಚರ್ಮದ ಬಣ್ಣ
🙍‍♀️	ಮಹಿಳೆ ಗಂಟಿಕ್ಕಿ
🙍‍♀	ಮಹಿಳೆ ಗಂಟಿಕ್ಕಿ
🙍🏻‍♀️	ಮಹಿಳೆ ಗಂಟಿಕ್ಕಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙍🏻‍♀	ಮಹಿಳೆ ಗಂಟಿಕ್ಕಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙍🏼‍♀️	ಮಹಿಳೆ ಗಂಟಿಕ್ಕಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🙍🏼‍♀	ಮಹಿಳೆ ಗಂಟಿಕ್ಕಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🙍🏽‍♀️	ಮಹಿಳೆ ಗಂಟಿಕ್ಕಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🙍🏽‍♀	ಮಹಿಳೆ ಗಂಟಿಕ್ಕಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🙍🏾‍♀️	ಮಹಿಳೆ ಗಂಟಿಕ್ಕಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🙍🏾‍♀	ಮಹಿಳೆ ಗಂಟಿಕ್ಕಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🙍🏿‍♀️	ಮಹಿಳೆ ಗಂಟಿಕ್ಕಿ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🙍🏿‍♀	ಮಹಿಳೆ ಗಂಟಿಕ್ಕಿ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🙎	ವ್ಯಕ್ತಿ ದೂಡುವುದು
🙎🏻	ವ್ಯಕ್ತಿ ಕುಣಿದಾಡುವುದು: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙎🏼	ವ್ಯಕ್ತಿ ಊದಿಕೊಳ್ಳುವುದು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🙎🏽	ವ್ಯಕ್ತಿ ಊದಿಕೊಳ್ಳುವುದು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🙎🏾	ವ್ಯಕ್ತಿ ಊದಿಕೊಳ್ಳುವುದು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🙎🏿	ವ್ಯಕ್ತಿ ಕುಣಿದು ಕುಪ್ಪಳಿಸುವುದು: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🙎‍♂️	ಮನುಷ್ಯ ಕುಣಿಯುತ್ತಿದ್ದಾನೆ
🙎‍♂	ಮನುಷ್ಯ ಕುಣಿಯುತ್ತಿದ್ದಾನೆ
🙎🏻‍♂️	ಮನುಷ್ಯ ಕುಣಿಯುತ್ತಿರುವ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙎🏻‍♂	ಮನುಷ್ಯ ಕುಣಿಯುತ್ತಿರುವ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙎🏼‍♂️	ಮನುಷ್ಯ ಕುಣಿದಾಡುವುದು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🙎🏼‍♂	ಮನುಷ್ಯ ಕುಣಿದಾಡುವುದು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🙎🏽‍♂️	ಮನುಷ್ಯ ಕುಣಿದಾಡುವುದು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🙎🏽‍♂	ಮನುಷ್ಯ ಕುಣಿದಾಡುವುದು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🙎🏾‍♂️	ಮನುಷ್ಯ ಕುಣಿಯುತ್ತಿರುವ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🙎🏾‍♂	ಮನುಷ್ಯ ಕುಣಿಯುತ್ತಿರುವ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🙎🏿‍♂️	ಮನುಷ್ಯ ಕುಣಿದಾಡುವುದು: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🙎🏿‍♂	ಮನುಷ್ಯ ಕುಣಿದಾಡುವುದು: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🙎‍♀️	ಮಹಿಳೆ ಕುಣಿಯುತ್ತಾಳೆ
🙎‍♀	ಮಹಿಳೆ ಕುಣಿಯುತ್ತಾಳೆ
🙎🏻‍♀️	ಮಹಿಳೆ ಕುಣಿದು ಕುಪ್ಪಳಿಸುವುದು: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙎🏻‍♀	ಮಹಿಳೆ ಕುಣಿದು ಕುಪ್ಪಳಿಸುವುದು: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙎🏼‍♀️	ಮಹಿಳೆ ಊದಿಕೊಳ್ಳುವುದು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙎🏼‍♀	ಮಹಿಳೆ ಊದಿಕೊಳ್ಳುವುದು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙎🏽‍♀️	ಮಹಿಳೆ ಊದಿಕೊಳ್ಳುವುದು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🙎🏽‍♀	ಮಹಿಳೆ ಊದಿಕೊಳ್ಳುವುದು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🙎🏾‍♀️	ಮಹಿಳೆ ಊದಿಕೊಳ್ಳುವುದು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🙎🏾‍♀	ಮಹಿಳೆ ಊದಿಕೊಳ್ಳುವುದು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🙎🏿‍♀️	ಮಹಿಳೆ ಕುಣಿದು ಕುಪ್ಪಳಿಸುವುದು: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🙎🏿‍♀	ಮಹಿಳೆ ಕುಣಿದು ಕುಪ್ಪಳಿಸುವುದು: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🙅	NO ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿರುವ ವ್ಯಕ್ತಿ
🙅🏻	NO ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙅🏼	NO ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙅🏽	NO ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🙅🏾	NO ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🙅🏿	NO ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🙅‍♂️	NO ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿರುವ ವ್ಯಕ್ತಿ
🙅‍♂	NO ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿರುವ ವ್ಯಕ್ತಿ
🙅🏻‍♂️	ಮನುಷ್ಯ NO ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿದ್ದಾನೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙅🏻‍♂	ಮನುಷ್ಯ NO ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿದ್ದಾನೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙅🏼‍♂️	ಮನುಷ್ಯ NO ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿದ್ದಾನೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙅🏼‍♂	ಮನುಷ್ಯ NO ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿದ್ದಾನೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙅🏽‍♂️	ಮನುಷ್ಯ NO ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿದ್ದಾನೆ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🙅🏽‍♂	ಮನುಷ್ಯ NO ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿದ್ದಾನೆ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🙅🏾‍♂️	ಮನುಷ್ಯ NO ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿದ್ದಾನೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🙅🏾‍♂	ಮನುಷ್ಯ NO ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿದ್ದಾನೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🙅🏿‍♂️	ಮನುಷ್ಯ NO ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿದ್ದಾನೆ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🙅🏿‍♂	ಮನುಷ್ಯ NO ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿದ್ದಾನೆ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🙅‍♀️	ಮಹಿಳೆ NO ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಾಳೆ
🙅‍♀	ಮಹಿಳೆ NO ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಾಳೆ
🙅🏻‍♀️	NO ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿರುವ ಮಹಿಳೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙅🏻‍♀	NO ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿರುವ ಮಹಿಳೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙅🏼‍♀️	NO ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿರುವ ಮಹಿಳೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🙅🏼‍♀	NO ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿರುವ ಮಹಿಳೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🙅🏽‍♀️	NO ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿರುವ ಮಹಿಳೆ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🙅🏽‍♀	NO ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿರುವ ಮಹಿಳೆ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🙅🏾‍♀️	NO ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿರುವ ಮಹಿಳೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🙅🏾‍♀	NO ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿರುವ ಮಹಿಳೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🙅🏿‍♀️	ಮಹಿಳೆ NO ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿದ್ದಾಳೆ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🙅🏿‍♀	ಮಹಿಳೆ NO ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿದ್ದಾಳೆ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🙆	ಸರಿ ಎಂದು ಸನ್ನೆ ಮಾಡಿದ ವ್ಯಕ್ತಿ
🙆🏻	ಸರಿ ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙆🏼	ಸರಿ ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙆🏽	ಸರಿ ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🙆🏾	ಸರಿ ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🙆🏿	ಸರಿ ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🙆‍♂️	ಮನುಷ್ಯ ಸರಿ ಎಂದು ಸನ್ನೆ ಮಾಡಿದ
🙆‍♂	ಮನುಷ್ಯ ಸರಿ ಎಂದು ಸನ್ನೆ ಮಾಡಿದ
🙆🏻‍♂️	ಸರಿ ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙆🏻‍♂	ಸರಿ ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙆🏼‍♂️	ಸರಿ ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿರುವ ಮನುಷ್ಯ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙆🏼‍♂	ಸರಿ ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿರುವ ಮನುಷ್ಯ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙆🏽‍♂️	ಸರಿ ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿರುವ ಮನುಷ್ಯ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🙆🏽‍♂	ಸರಿ ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿರುವ ಮನುಷ್ಯ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🙆🏾‍♂️	ಸರಿ ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🙆🏾‍♂	ಸರಿ ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🙆🏿‍♂️	ಸರಿ ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿರುವ ಮನುಷ್ಯ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🙆🏿‍♂	ಸರಿ ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿರುವ ಮನುಷ್ಯ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🙆‍♀️	ಮಹಿಳೆ ಸರಿ ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಾಳೆ
🙆‍♀	ಮಹಿಳೆ ಸರಿ ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಾಳೆ
🙆🏻‍♀️	ಸರಿ ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿರುವ ಮಹಿಳೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙆🏻‍♀	ಸರಿ ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿರುವ ಮಹಿಳೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙆🏼‍♀️	ಸರಿ ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿರುವ ಮಹಿಳೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙆🏼‍♀	ಸರಿ ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿರುವ ಮಹಿಳೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙆🏽‍♀️	ಸರಿ ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿರುವ ಮಹಿಳೆ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🙆🏽‍♀	ಸರಿ ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿರುವ ಮಹಿಳೆ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🙆🏾‍♀️	ಸರಿ ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿರುವ ಮಹಿಳೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🙆🏾‍♀	ಸರಿ ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿರುವ ಮಹಿಳೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🙆🏿‍♀️	ಮಹಿಳೆ ಸರಿ ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿದ್ದಾಳೆ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🙆🏿‍♀	ಮಹಿಳೆ ಸರಿ ಎಂದು ಸನ್ನೆ ಮಾಡುತ್ತಿದ್ದಾಳೆ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
💁	ವ್ಯಕ್ತಿ ಕೈ ತಿರುಗಿಸುತ್ತಾನೆ
💁🏻	ವ್ಯಕ್ತಿ ಕೈ ಟಿಪ್ಪಿಂಗ್: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
💁🏼	ವ್ಯಕ್ತಿ ಕೈ ಟಿಪ್ಪಿಂಗ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
💁🏽	ವ್ಯಕ್ತಿ ಕೈ ಟಿಪ್ಪಿಂಗ್: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
💁🏾	ವ್ಯಕ್ತಿ ಕೈ ಟಿಪ್ಪಿಂಗ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
💁🏿	ವ್ಯಕ್ತಿ ಕೈ ಟಿಪ್ಪಿಂಗ್: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
💁‍♂️	ಮನುಷ್ಯ ಕೈಯನ್ನು ತಿರುಗಿಸುತ್ತಾನೆ
💁‍♂	ಮನುಷ್ಯ ಕೈಯನ್ನು ತಿರುಗಿಸುತ್ತಾನೆ
💁🏻‍♂️	ಮನುಷ್ಯನ ಕೈ ತುದಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
💁🏻‍♂	ಮನುಷ್ಯನ ಕೈ ತುದಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
💁🏼‍♂️	ಮನುಷ್ಯನ ಕೈ ತುದಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
💁🏼‍♂	ಮನುಷ್ಯನ ಕೈ ತುದಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
💁🏽‍♂️	ಮನುಷ್ಯನ ಕೈ ತುದಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
💁🏽‍♂	ಮನುಷ್ಯನ ಕೈ ತುದಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
💁🏾‍♂️	ಮನುಷ್ಯನ ಕೈ ತುದಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
💁🏾‍♂	ಮನುಷ್ಯನ ಕೈ ತುದಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
💁🏿‍♂️	ಮನುಷ್ಯನ ಕೈ ತುದಿ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
💁🏿‍♂	ಮನುಷ್ಯನ ಕೈ ತುದಿ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
💁‍♀️	ಮಹಿಳೆ ಕೈ ಚಪ್ಪರಿಸುತ್ತಾಳೆ
💁‍♀	ಮಹಿಳೆ ಕೈ ಚಪ್ಪರಿಸುತ್ತಾಳೆ
💁🏻‍♀️	ಮಹಿಳೆ ಕೈ ತುದಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
💁🏻‍♀	ಮಹಿಳೆ ಕೈ ತುದಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
💁🏼‍♀️	ಮಹಿಳೆ ಕೈ ತುದಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
💁🏼‍♀	ಮಹಿಳೆ ಕೈ ತುದಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
💁🏽‍♀️	ಮಹಿಳೆ ಕೈ ತುದಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
💁🏽‍♀	ಮಹಿಳೆ ಕೈ ತುದಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
💁🏾‍♀️	ಮಹಿಳೆ ಕೈ ತುದಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
💁🏾‍♀	ಮಹಿಳೆ ಕೈ ತುದಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
💁🏿‍♀️	ಮಹಿಳೆ ಕೈ ತುದಿ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
💁🏿‍♀	ಮಹಿಳೆ ಕೈ ತುದಿ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🙋	ಕೈ ಎತ್ತುವ ವ್ಯಕ್ತಿ
🙋🏻	ಕೈ ಎತ್ತುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙋🏼	ಕೈ ಎತ್ತುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🙋🏽	ಕೈ ಎತ್ತುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🙋🏾	ಕೈ ಎತ್ತುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🙋🏿	ಕೈ ಎತ್ತುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🙋‍♂️	ಕೈ ಎತ್ತುವ ವ್ಯಕ್ತಿ
🙋‍♂	ಕೈ ಎತ್ತುವ ವ್ಯಕ್ತಿ
🙋🏻‍♂️	ಕೈ ಎತ್ತುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙋🏻‍♂	ಕೈ ಎತ್ತುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙋🏼‍♂️	ಕೈ ಎತ್ತುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🙋🏼‍♂	ಕೈ ಎತ್ತುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🙋🏽‍♂️	ಕೈ ಎತ್ತುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🙋🏽‍♂	ಕೈ ಎತ್ತುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🙋🏾‍♂️	ಕೈ ಎತ್ತುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🙋🏾‍♂	ಕೈ ಎತ್ತುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🙋🏿‍♂️	ಕೈ ಎತ್ತುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🙋🏿‍♂	ಕೈ ಎತ್ತುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🙋‍♀️	ಕೈ ಎತ್ತುವ ಮಹಿಳೆ
