😀	صورت پوزخند
🎴	کارت های بازی گل
🎭	هنرهای نمایشی
🖼️	عکس قاب شده
🖼	عکس قاب شده
🎨	پالت هنرمند
🧵	نخ
🧶	نخ
🔇	بلندگوی خاموش
🔈	بلندگو با صدای کم
🔉	بلندگو با صدای متوسط
🔊	بلندگو با صدای بالا
📢	بلندگو
📣	مگافون
📯	بوق پستی
🔔	زنگ
🔕	زنگ با اسلش
🎼	آهنگ موسیقی
🎵	نت موسیقی
🎶	نت های موسیقی
🎙️	میکروفون استودیویی
🎙	میکروفون استودیویی
🎚️	نوار لغزنده سطح
🎚	نوار لغزنده سطح
🎛️	دستگیره های کنترل
🎛	دستگیره های کنترل
🎤	میکروفون
🎧	هدفون
📻	رادیو
🎷	ساکسیفون
🎸	گیتار
🎹	کیبورد موزیکال
🎺	شیپور
🎻	ویولن
🥁	طبل
📱	تلفن همراه
📲	تلفن همراه با فلش
☎️	تلفن
☎	تلفن
📞	گیرنده تلفن
📟	پیجر
📠	دستگاه فکس
🔋	باتری
🔌	دوشاخه برق
💻	لپتاپ
🖥️	کامپیوتر رومیزی
🖥	کامپیوتر رومیزی
🖨️	چاپگر
🖨	چاپگر
⌨️	صفحه کلید
⌨	صفحه کلید
🖱️	موس کامپیوتر
🖱	موس کامپیوتر
🖲️	گوی پیک
🖲	گوی پیک
💽	دیسک کامپیوتر
💾	فلاپی دیسک
💿	دیسک های نوری
📀	دی وی دی
🧮	چرتکه
🎥	دوربین فیلم
🎞️	قاب های فیلم
🎞	قاب های فیلم
📽️	پروژکتور فیلم
📽	پروژکتور فیلم
🎬	تخته کلاپر
📺	تلویزیون
📷	دوربین
📸	دوربین با فلاش
📹	دوربین فیلمبرداری
📼	کاست ویدیویی
🔍	ذره بین به سمت چپ کج شد
🔎	ذره بین به سمت راست کج شد
🕯️	شمع
🕯	شمع
💡	لامپ روشنایی
🔦	چراغ قوه
🏮	فانوس کاغذی قرمز
📔	دفترچه یادداشت با جلد تزئینی
📕	کتاب بسته
📖	کتاب باز
📗	کتاب سبز
📘	کتاب آبی
📙	کتاب نارنجی
📚	کتاب ها
📓	نوت بوک
📒	دفتر کل
📃	صفحه با حلقه
📜	طومار
📄	صفحه رو به بالا
📰	روزنامه
🗞️	روزنامه گرد شده
🗞	روزنامه گرد شده
📑	برگه های نشانک
🔖	نشانک
🏷️	برچسب
🏷	برچسب
💰	کیف پول
💴	اسکناس ین
💵	اسکناس دلار
💶	اسکناس یورو
💷	اسکناس پوند
💸	پول با بال
💳	کارت اعتباری
🧾	اعلام وصول
💹	نمودار افزایش با ین
💱	تبدیل ارز
💲	علامت دلار سنگین
✉️	پاكت نامه
✉	پاكت نامه
📧	پست الکترونیک
📨	پاکت ورودی
📩	پاکت با فلش
📤	سینی صندوق خروجی
📥	سینی صندوق ورودی
📦	بسته بندی
📫	صندوق پستی بسته با پرچم برافراشته
📪	صندوق پستی بسته با پرچم پایین
📬	باز کردن صندوق پستی با پرچم برافراشته
📭	باز کردن صندوق پستی با پرچم پایین
📮	صندوق پستی
🗳️	صندوق رای با برگه رای
🗳	صندوق رای با برگه رای
✏️	مداد
✏	مداد
✒️	نوک سیاه
✒	نوک سیاه
🖋️	قلم خودنویس
🖋	قلم خودنویس
🖊️	خودکار
🖊	خودکار
🖌️	قلم مو
🖌	قلم مو
🖍️	مداد رنگی
🖍	مداد رنگی
📝	یادداشت
💼	کیف
📁	پوشه فایل
📂	باز کردن پوشه فایل
🗂️	تقسیم کننده های شاخص کارت
🗂	تقسیم کننده های شاخص کارت
📅	تقویم
📆	تقویم پاره پاره
🗒️	دفترچه یادداشت مارپیچ
🗒	دفترچه یادداشت مارپیچ
🗓️	تقویم مارپیچی
🗓	تقویم مارپیچی
📇	فهرست کارت
📈	نمودار افزایش می یابد
📉	نمودار کاهش می یابد
📊	نمودار میله ای
📋	کلیپ بورد
📌	پین فشاری
📍	پین گرد
📎	گیره کاغذ
🖇️	گیره های کاغذ مرتبط
🖇	گیره های کاغذ مرتبط
📏	خط کش مستقیم
📐	خط کش مثلثی
✂️	قیچی
✂	قیچی
🗃️	جعبه فایل کارت
🗃	جعبه فایل کارت
🗄️	کمد پرونده
🗄	کمد پرونده
🗑️	سطل زباله
🗑	سطل زباله
🔒	قفل شده است
🔓	قفل شده است
🔏	با خودکار قفل شده
🔐	با کلید قفل شده
🔑	کلید
🗝️	کلید قدیمی
🗝	کلید قدیمی
🔨	چکش
⛏️	انتخاب
⛏	انتخاب
⚒️	چکش و چیدن
⚒	چکش و چیدن
🛠️	چکش و آچار
🛠	چکش و آچار
🗡️	خنجر
🗡	خنجر
⚔️	شمشیرهای ضربدری
⚔	شمشیرهای ضربدری
🔫	تپانچه
🏹	تیر و کمان
🛡️	سپر
🛡	سپر
🔧	آچار
🔩	مهره و پیچ
⚙️	دنده
⚙	دنده
🗜️	گیره
🗜	گیره
⚖️	مقیاس تعادل
⚖	مقیاس تعادل
🔗	ارتباط دادن
⛓️	زنجیر
⛓	زنجیر
🧰	جعبه ابزار
🧲	آهن ربا
⚗️	alembic
⚗	alembic
🧪	لوله آزمایش
🧫	ظرف کشت میکروب
🧬	DNA
🔬	میکروسکوپ
🔭	تلسکوپ
📡	آنتن ماهواره
💉	سرنگ
💊	قرص
🚪	در، درب
🛏️	بستر
🛏	بستر
🛋️	کاناپه و چراغ
🛋	کاناپه و چراغ
🚽	توالت
🚿	دوش
🛁	وان حمام
🧴	بطری لوسیون
🧷	سنجاق قفلی
🧹	جارو
🧺	سبد
🧻	رول کاغذ
🧼	صابون
🧽	اسفنج
🧯	کپسول آتش نشانی
🛒	سبد خرید
🚬	سیگار
⚰️	تابوت
⚰	تابوت
⚱️	کوزه تشییع جنازه
⚱	کوزه تشییع جنازه
🗿	موآی
🏧	علامت خودپرداز
🚮	علامت زباله در سطل زباله
🚰	آب قابل شرب
♿	نماد ویلچر
🚹	اتاق مردان
🚺	اتاق زنان
🚻	دستشویی
🚼	نماد کودک
🚾	کمد آب
🛂	کنترل پاسپورت
🛃	گمرک
🛄	ادعای بار
🛅	چمدان باقی مانده
⚠️	هشدار
⚠	هشدار
🚸	عبور کودکان
⛔	ورود ممنوع
🚫	ممنوع است
🚳	بدون دوچرخه
🚭	سیگار کشیدن ممنوع
🚯	بدون زباله
🚱	آب غیر شرب
🚷	عبور عابر پیاده ممنوع
📵	بدون تلفن همراه
🔞	هیچ کس زیر هجده سال
☢️	رادیواکتیو
☢	رادیواکتیو
☣️	خطر زیستی
☣	خطر زیستی
⬆️	فلش بالا
⬆	فلش بالا
↗️	فلش رو به راست
↗	فلش رو به راست
➡️	فلش راست
➡	فلش راست
↘️	فلش پایین به راست
↘	فلش پایین به راست
⬇️	فلش پایین
⬇	فلش پایین
↙️	فلش رو به چپ
↙	فلش رو به چپ
⬅️	فلش سمت چپ
⬅	فلش سمت چپ
↖️	فلش بالا سمت چپ
↖	فلش بالا سمت چپ
↕️	فلش بالا به پایین
↕	فلش بالا به پایین
↔️	فلش چپ به راست
↔	فلش چپ به راست
↩️	فلش سمت راست به سمت چپ منحنی می شود
↩	فلش سمت راست به سمت چپ منحنی می شود
↪️	فلش چپ به سمت راست خم می شود
↪	فلش چپ به سمت راست خم می شود
⤴️	فلش سمت راست به سمت بالا خم می شود
⤴	فلش سمت راست به سمت بالا خم می شود
⤵️	فلش سمت راست به سمت پایین خم می شود
⤵	فلش سمت راست به سمت پایین خم می شود
🔃	فلش های عمودی در جهت عقربه های ساعت
🔄	دکمه فلش های خلاف جهت عقربه های ساعت
🔙	فلش برگشت
🔚	فلش END
🔛	روی پیکان
🔜	به زودی فلش
🔝	فلش بالا
🛐	محل عبادت
⚛️	نماد اتم
⚛	نماد اتم
🕉️	om
🕉	om
✡️	ستاره داوود
✡	ستاره داوود
☸️	چرخ دارما
☸	چرخ دارما
☯️	یین یانگ
☯	یین یانگ
✝️	صلیب لاتین
✝	صلیب لاتین
☦️	صلیب ارتدکس
☦	صلیب ارتدکس
☪️	ستاره و هلال
☪	ستاره و هلال
☮️	نماد صلح
☮	نماد صلح
🕎	منورا
🔯	ستاره شش پر نقطه چین
♈	برج حمل
♉	ثور
♊	جوزا
♋	سرطان
♌	لئو
♍	باکره
♎	ترازو
♏	عقرب
♐	قوس
♑	برج جدی
♒	دلو
♓	ماهی ها
⛎	اوفیوچوس
🔀	دکمه زدن آهنگ ها
🔁	دکمه تکرار
🔂	تکرار تک دکمه
▶️	دکمه پخش
▶	دکمه پخش
⏩	دکمه فوروارد سریع
⏭️	دکمه آهنگ بعدی
⏭	دکمه آهنگ بعدی
⏯️	دکمه پخش یا مکث
⏯	دکمه پخش یا مکث
◀️	دکمه معکوس
◀	دکمه معکوس
⏪	دکمه معکوس سریع
⏮️	آخرین دکمه آهنگ
⏮	آخرین دکمه آهنگ
🔼	دکمه رو به بالا
⏫	دکمه سریع بالا
🔽	دکمه رو به پایین
⏬	دکمه پایین سریع
⏸️	دکمه مکث
⏸	دکمه مکث
⏹️	دکمه توقف
⏹	دکمه توقف
⏺️	دکمه ضبط
⏺	دکمه ضبط
⏏️	دکمه بیرون انداختن
⏏	دکمه بیرون انداختن
🎦	سینما
🔅	دکمه کم نور
🔆	دکمه روشن
📶	میله های آنتن
📳	حالت لرزش
📴	تلفن همراه خاموش
♀️	علامت زن
♀	علامت زن
♂️	علامت مردانه
♂	علامت مردانه
⚕️	نماد پزشکی
⚕	نماد پزشکی
♾️	بی نهایت
♾	بی نهایت
♻️	نماد بازیافت
♻	نماد بازیافت
⚜️	fleur-de-lis
⚜	fleur-de-lis
🔱	نشان سه گانه
📛	نشان نام
🔰	نماد ژاپنی برای مبتدی
⭕	دایره بزرگ سنگین
✅	علامت چک سنگین سفید
☑️	صندوق رای با چک
☑	صندوق رای با چک
✔️	علامت چک سنگین
✔	علامت چک سنگین
✖️	ضرب سنگین x
✖	ضرب سنگین x
❌	علامت متقاطع
❎	دکمه علامت متقاطع
➕	علامت به علاوه سنگین
➖	علامت منفی سنگین
➗	علامت تقسیم سنگین
➰	حلقه فرفری
➿	حلقه فرفری دوتایی
〽️	علامت تناوب قطعه
〽	علامت تناوب قطعه
✳️	ستاره هشت پر
✳	ستاره هشت پر
✴️	ستاره هشت پر
✴	ستاره هشت پر
❇️	درخشش
❇	درخشش
‼️	علامت تعجب دوتایی
‼	علامت تعجب دوتایی
⁉️	علامت سوال تعجب
⁉	علامت سوال تعجب
❓	علامت سوال
❔	علامت سوال سفید
❕	علامت تعجب سفید
❗	علامت تعجب
〰️	خط تیره مواج
〰	خط تیره مواج
©️	کپی رایت
©	کپی رایت
®️	ثبت شده است
®	ثبت شده است
™️	علامت تجاری
™	علامت تجاری
#️⃣	کلید: #
#⃣	کلید: #
*️⃣	کلاهک کلید: *
*⃣	کلاهک کلید: *
0️⃣	کلید: 0
0⃣	کلید: 0
1️⃣	کلاه کلید: 1
1⃣	کلاه کلید: 1
2️⃣	کلاه کلید: 2
2⃣	کلاه کلید: 2
3️⃣	کلاه کلید: 3
3⃣	کلاه کلید: 3
4️⃣	کلاه کلید: 4
4⃣	کلاه کلید: 4
5️⃣	کلاه کلید: 5
5⃣	کلاه کلید: 5
6️⃣	کلاه کلید: 6
6⃣	کلاه کلید: 6
7️⃣	کلاه کلید: 7
7⃣	کلاه کلید: 7
8️⃣	کلاهک: 8
8⃣	کلاهک: 8
9️⃣	کلاه کلید: 9
9⃣	کلاه کلید: 9
🔟	کلاه کلید: 10
💯	صد امتیاز
🔠	حروف بزرگ لاتین را وارد کنید
🔡	حروف کوچک لاتین را وارد کنید
🔢	اعداد ورودی
🔣	نمادهای ورودی
🔤	حروف لاتین را وارد کنید
🅰️	یک دکمه (گروه خونی)
🅰	یک دکمه (گروه خونی)
🆎	دکمه AB (گروه خونی)
🅱️	دکمه B (گروه خونی)
🅱	دکمه B (گروه خونی)
🆑	دکمه CL
🆒	دکمه خنک
🆓	دکمه رایگان
ℹ️	اطلاعات
ℹ	اطلاعات
🆔	دکمه شناسه
Ⓜ️	دور م
Ⓜ	دور م
🆕	دکمه جدید
🆖	دکمه NG
🅾️	دکمه O (گروه خونی)
🅾	دکمه O (گروه خونی)
🆗	دکمه OK
🅿️	دکمه P
🅿	دکمه P
🆘	دکمه SOS
🆙	دکمه UP
🆚	دکمه VS
🈁	دکمه ژاپنی "اینجا".
🈂️	دکمه ژاپنی "هزینه خدمات".
🈂	دکمه ژاپنی "هزینه خدمات".
🈷️	دکمه ژاپنی "مبلغ ماهانه".
🈷	دکمه ژاپنی "مبلغ ماهانه".
🈶	دکمه ژاپنی "رایگان نیست".
🈯	دکمه ژاپنی "رزرو شده".
🉐	دکمه "معامله" ژاپنی
🈹	دکمه ژاپنی "تخفیف".
🈚	دکمه ژاپنی "رایگان".
🈲	دکمه "ممنوع" ژاپنی
🉑	دکمه ژاپنی "قابل قبول".
🈸	دکمه ژاپنی "برنامه".
🈴	دکمه ژاپنی "نمره قبولی".
🈳	دکمه "جای خالی" ژاپنی
㊗️	دکمه ژاپنی "تبریک".
㊗	دکمه ژاپنی "تبریک".
㊙️	دکمه "مخفی" ژاپنی
㊙	دکمه "مخفی" ژاپنی
🈺	دکمه ژاپنی "باز برای تجارت".
🈵	دکمه ژاپنی "بدون جای خالی".
▪️	مربع کوچک سیاه
▪	مربع کوچک سیاه
▫️	مربع کوچک سفید
▫	مربع کوچک سفید
◻️	مربع متوسط سفید
◻	مربع متوسط سفید
◼️	مربع سیاه و سفید متوسط
◼	مربع سیاه و سفید متوسط
◽	مربع سفید متوسط کوچک
◾	مربع سیاه و سفید متوسط کوچک
⬛	مربع بزرگ سیاه
⬜	مربع بزرگ سفید
🔶	الماس نارنجی بزرگ
🔷	الماس آبی بزرگ
🔸	الماس نارنجی کوچک
🔹	الماس آبی کوچک
🔺	مثلث قرمز رو به بالا
🔻	مثلث قرمز رو به پایین
💠	الماس با نقطه
🔘	دکمه رادیویی
🔲	دکمه مربع مشکی
🔳	دکمه مربع سفید
⚪	دایره سفید
⚫	دایره سیاه
🔴	دایره قرمز
🔵	دایره آبی
🏁	پرچم شطرنجی
🚩	پرچم مثلثی
🎌	پرچم های ضربدری
🏴	پرچم سیاه
🏳️	پرچم سفید
🏳	پرچم سفید
🏳️‍🌈	پرچم رنگین کمان
🏳‍🌈	پرچم رنگین کمان
🏴‍☠️	پرچم دزدان دریایی
🏴‍☠	پرچم دزدان دریایی
🇦🇨	جزیره معراج
🇦🇩	آندورا
🇦🇪	امارات متحده عربی
🇦🇫	افغانستان
🇦🇬	آنتیگوا و باربودا
🇦🇮	آنگویلا
🇦🇱	آلبانی
🇦🇲	ارمنستان
🇦🇴	آنگولا
🇦🇶	جنوبگان
🇦🇷	آرژانتین
🇦🇸	ساموآی آمریکایی
🇦🇹	اتریش
🇦🇺	استرالیا
🇦🇼	آروبا
🇦🇽	جزایر الند
🇦🇿	آذربایجان
🇧🇦	بوسنی و هرزگوین
🇧🇧	باربادوس
🇧🇩	بنگلادش
🇧🇪	بلژیک
🇧🇫	بورکینافاسو
🇧🇬	بلغارستان
🇧🇭	بحرین
🇧🇮	بوروندی
🇧🇯	بنین
🇧🇱	سنت بارتلمی
🇧🇲	برمودا
🇧🇳	برونئی
🇧🇴	بولیوی
🇧🇶	کارائیب هلند
🇧🇷	برزیل
🇧🇸	باهاما
🇧🇹	بوتان
🇧🇻	جزیره بووه
🇧🇼	بوتسوانا
🇧🇾	بلاروس
🇧🇿	بلیز
🇨🇦	کانادا
🇨🇨	جزایر کوکوس (کیلینگ).
🇨🇩	کنگو - کینشاسا
🇨🇫	جمهوری آفریقای مرکزی
🇨🇬	کنگو - برازاویل
🇨🇭	سوئیس
🇨🇮	ساحل عاج
🇨🇰	جزایر کوک
🇨🇱	شیلی
🇨🇲	کامرون
🇨🇳	چین
🇨🇴	کلمبیا
🇨🇵	جزیره کلیپرتون
🇨🇷	کاستاریکا
🇨🇺	کوبا
🇨🇻	کیپ ورد
🇨🇼	کوراسائو
🇨🇽	جزیره کریسمس
🇨🇾	قبرس
🇨🇿	چک
🇩🇪	آلمان
🇩🇬	دیگو گارسیا
🇩🇯	جیبوتی
🇩🇰	دانمارک
🇩🇲	دومینیکا
🇩🇴	جمهوری دومینیکن
🇩🇿	الجزایر
🇪🇦	سئوتا و ملیلا
🇪🇨	اکوادور
🇪🇪	استونی
🇪🇬	مصر
🇪🇭	صحرای غربی
🇪🇷	اریتره
🇪🇸	اسپانیا
🇪🇹	اتیوپی
🇪🇺	اتحادیه اروپا
🇫🇮	فنلاند
🇫🇯	فیجی
🇫🇰	جزایر فالکلند
🇫🇲	میکرونزی
🇫🇴	جزایر فارو
🇫🇷	فرانسه
🇬🇦	گابن
🇬🇧	انگلستان
🇬🇩	گرانادا
🇬🇪	گرجستان
🇬🇫	گویان فرانسه
🇬🇬	گرنزی
🇬🇭	غنا
🇬🇮	جبل الطارق
🇬🇱	گرینلند
🇬🇲	گامبیا
🇬🇳	گینه
🇬🇵	گوادلوپ
🇬🇶	گینه استوایی
🇬🇷	یونان
🇬🇸	جورجیا جنوبی و جزایر ساندویچ جنوبی
🇬🇹	گواتمالا
🇬🇺	گوام
🇬🇼	گینه بیسائو
🇬🇾	گویان
🇭🇰	هنگ کنگ SAR چین
🇭🇲	جزایر هرد و مک دونالد
🇭🇳	هندوراس
🇭🇷	کرواسی
🇭🇹	هائیتی
🇭🇺	مجارستان
🇮🇨	جزایر قناری
🇮🇩	اندونزی
🇮🇪	ایرلند
🇮🇱	اسرائيل
🇮🇲	جزیره من
🇮🇳	هندوستان
🇮🇴	قلمرو اقیانوس هند بریتانیا
🇮🇶	عراق
🇮🇷	ایران
🇮🇸	ایسلند
🇮🇹	ایتالیا
🇯🇪	پیراهن ورزشی
🇯🇲	جامائیکا
🇯🇴	اردن
🇯🇵	ژاپن
🇰🇪	کنیا
🇰🇬	قرقیزستان
🇰🇭	کامبوج
🇰🇮	کیریباتی
🇰🇲	کومور
🇰🇳	سنت کیتس و نویس
🇰🇵	کره شمالی
🇰🇷	کره جنوبی
🇰🇼	کویت
🇰🇾	جزایر کیمن
🇰🇿	قزاقستان
🇱🇦	لائوس
🇱🇧	لبنان
🇱🇨	سنت لوسیا
🇱🇮	لیختن اشتاین
🇱🇰	سری لانکا
🇱🇷	لیبریا
🇱🇸	لسوتو
🇱🇹	لیتوانی
🇱🇺	لوکزامبورگ
🇱🇻	لتونی
🇱🇾	لیبی
🇲🇦	مراکش
🇲🇨	موناکو
🇲🇩	مولداوی
🇲🇪	مونته نگرو
🇲🇫	سنت مارتین
🇲🇬	ماداگاسکار
🇲🇭	جزایر مارشال
🇲🇰	مقدونیه
🇲🇱	مالی
🇲🇲	میانمار (برمه)
🇲🇳	مغولستان
🇲🇴	ماکائو SAR چین
🇲🇵	جزایر ماریانای شمالی
🇲🇶	مارتینیک
🇲🇷	موریتانی
🇲🇸	مونتسرات
🇲🇹	مالت
🇲🇺	موریس
🇲🇻	مالدیو
🇲🇼	مالاوی
🇲🇽	مکزیک
🇲🇾	مالزی
🇲🇿	موزامبیک
🇳🇦	نامیبیا
🇳🇨	کالدونیای جدید
🇳🇪	نیجر
🇳🇫	جزیره نورفولک
🇳🇬	نیجریه
🇳🇮	نیکاراگوئه
🇳🇱	هلند
🇳🇴	نروژ
🇳🇵	نپال
🇳🇷	نائورو
🇳🇺	نیوئه
🇳🇿	نیوزلند
🇴🇲	عمان
🇵🇦	پاناما
🇵🇪	پرو
🇵🇫	پلینزی فرانسه
🇵🇬	پاپوآ گینه نو
🇵🇭	فیلیپین
🇵🇰	پاکستان
🇵🇱	لهستان
🇵🇲	سنت پیر و میکلون
🇵🇳	جزایر پیتکرن
🇵🇷	پورتوریکو
🇵🇸	سرزمین های فلسطینی
🇵🇹	کشور پرتغال
🇵🇼	پالائو
🇵🇾	پاراگوئه
🇶🇦	قطر
🇷🇪	تجدید دیدار
🇷🇴	رومانی
🇷🇸	صربستان
🇷🇺	روسیه
🇷🇼	رواندا
🇸🇦	عربستان سعودی
🇸🇧	جزایر سلیمان
🇸🇨	سیشل
🇸🇩	سودان
🇸🇪	سوئد
🇸🇬	سنگاپور
🇸🇭	سنت هلنا
🇸🇮	اسلوونی
🇸🇯	سوالبارد و یان ماین
🇸🇰	اسلواکی
🇸🇱	سیرا لئون
🇸🇲	سن مارینو
🇸🇳	سنگال
🇸🇴	سومالی
🇸🇷	سورینام
🇸🇸	سودان جنوبی
🇸🇹	سائوتومه و پرنسیپ
🇸🇻	السالوادور
🇸🇽	سینت مارتن
🇸🇾	سوریه
🇸🇿	سوازیلند
🇹🇦	تریستان دا کونا
🇹🇨	جزایر تورکس و کایکوس
🇹🇩	چاد
🇹🇫	سرزمین های جنوبی فرانسه
🇹🇬	رفتن
🇹🇭	تایلند
🇹🇯	تاجیکستان
🇹🇰	توکلائو
🇹🇱	تیمور شرقی
🇹🇲	ترکمنستان
🇹🇳	تونس
🇹🇴	تونگا
🇹🇷	بوقلمون
🇹🇹	ترینیداد و توباگو
🇹🇻	تووالو
🇹🇼	تایوان
🇹🇿	تانزانیا
🇺🇦	اوکراین
🇺🇬	اوگاندا
🇺🇲	جزایر دورافتاده ایالات متحده
🇺🇳	سازمان ملل
🇺🇸	ایالات متحده
🇺🇾	اروگوئه
🇺🇿	ازبکستان
🇻🇦	شهر واتیکان
🇻🇨	سنت وینسنت و گرنادین
🇻🇪	ونزوئلا
🇻🇬	جزایر ویرجین بریتانیا
🇻🇮	جزایر ویرجین ایالات متحده
🇻🇳	ویتنام
🇻🇺	وانواتو
🇼🇫	والیس و فوتونا
🇼🇸	ساموآ
🇽🇰	کوزوو
🇾🇪	یمن
🇾🇹	مایوت
🇿🇦	آفریقای جنوبی
🇿🇲	زامبیا
🇿🇼	زیمبابوه
🏴󠁧󠁢󠁥󠁮󠁧󠁿	انگلستان
🏴󠁧󠁢󠁳󠁣󠁴󠁿	اسکاتلند
🏴󠁧󠁢󠁷󠁬󠁳󠁿	ولز
