😀	خندونکې مخ
🕍	کنیسه
⛩️	د شینټو زیارت
⛩	د شینټو زیارت
🕋	کعبه
⛲	چشمه
⛺	خیمه
🌁	تیاره
🌃	شپه له ستورو سره
🏙️	د ښار منظره
🏙	د ښار منظره
🌄	لمر پر غرونو
🌅	لمر
🌆	په ماښام کې د ښار منظره
🌇	لمر
🌉	د شپې پل
♨️	ګرمې چینې
♨	ګرمې چینې
🌌	د شودو لار
🎠	carousel آس
🎡	فیریس ویل
🎢	هوايي اوسپنیز ګاډی
💈	د حجام قطب
🎪	د سرکس خیمه
🚂	لوکوموټیو
🚃	د اورګاډي موټر
🚄	د تیز رفتار ریل ګاډی
🚅	مرمی اورګاډی
🚆	ټرین
🚇	میټرو
🚈	رڼا ریل
🚉	سټیشن
🚊	ټرام
🚝	مونوریل
🚞	غرنۍ پټلۍ
🚋	ټرام موټر
🚌	بس
🚍	راتلونکی بس
🚎	ټرالی بس
🚐	منی بس
🚑	امبولانس
🚒	د اور وژنې ماشین
🚓	دپولیس موټر
🚔	د پولیسو راتلونکی موټر
🚕	ټکسي
🚖	راتلونکی ټکسي
🚗	موټر
🚘	راتلونکی موټر
🚙	د سپورت ګټور موټر
🚚	د تحویلۍ لارۍ
🚛	څرګند لاری
🚜	ټراکټور
🚲	بايسکل
🛴	سکوټر کیک
🛹	سکیټبورډ
🛵	د موټرو سکوټر
🚏	د بس تم ځای
🛣️	موټروان
🛣	موټروان
🛤️	د اورګاډي پټلۍ
🛤	د اورګاډي پټلۍ
🛢️	د تیلو ډرم
🛢	د تیلو ډرم
⛽	د تېلو ټانک
🚨	د پولیسو موټر څراغ
🚥	افقی ترافیک څراغ
🚦	عمودی ترافیک رڼا
🛑	د بند نښه
🚧	ساختمان
⚓	لنگر
⛵	کښتۍ
🛶	کینو
🚤	سرعت کشتۍ
🛳️	مسافر وړونکې بېړۍ
🛳	مسافر وړونکې بېړۍ
⛴️	بېړۍ
⛴	بېړۍ
🛥️	د موټرو کښتۍ
🛥	د موټرو کښتۍ
🚢	کښتۍ
✈️	الوتکه
✈	الوتکه
🛩️	کوچنۍ الوتکه
🛩	کوچنۍ الوتکه
🛫	د الوتکې روانېدل
🛬	د الوتکې راتګ
💺	څوکۍ
🚁	چورلکه
🚟	تعلیق پټلۍ
🚠	د غره کیبل لاره
🚡	هوايي ټرام
🛰️	سپوږمکۍ
🛰	سپوږمکۍ
🚀	راکټ
🛸	الوتونکی طشتری
🛎️	bellhop زنګ
🛎	bellhop زنګ
🧳	سامان
⌛	ساعت ګلاس جوړ شوی
⏳	ساعت ګلاس نه دی ترسره شوی
⌚	کتل
⏰	د الارم ساعت
⏱️	سټاپ واچ
⏱	سټاپ واچ
⏲️	ټایمر ساعت
⏲	ټایمر ساعت
🕰️	mantelpiece ساعت
🕰	mantelpiece ساعت
🕛	دولس بجې
🕧	دولس - دېرش
🕐	یوه بجه
🕜	یو دېرش
🕑	دوه بجې
🕝	دوه دېرش
🕒	درې بجې
🕞	درې دېرش
🕓	څلور بجی
🕟	څلور دېرش
🕔	پنځه بجې
🕠	پنځه دېرش
🕕	شپږ بجې
🕡	شپږ دېرش
🕖	اوه بجې
🕢	اوه دېرش
🕗	اته بجې
🕣	اته دېرش
🕘	نهه بجې
🕤	نهه دېرش
🕙	لس بجې
🕥	لس دېرش
🕚	یوولس بجې
🕦	یوولس دېرش
🌑	نوې سپوږمۍ
🌒	د لمر وړانګې سپوږمۍ
🌓	لومړۍ ربع سپوږمۍ
🌔	waxing gibbous سپوږمۍ
🌕	پوره سپوږمۍ
🌖	ړنګه ګیبس سپوږمۍ
🌗	وروستۍ ربع سپوږمۍ
🌘	ورکه شوې سپوږمۍ
🌙	سپوږمۍ
🌚	د نوي سپوږمۍ مخ
🌛	د لومړۍ ربع سپوږمۍ مخ
🌜	د وروستۍ ربع سپوږمۍ مخ
🌡️	ترمامیتر
🌡	ترمامیتر
☀️	لمر
☀	لمر
🌝	د بشپړې سپوږمۍ مخ
🌞	لمر د مخ سره
⭐	ستوری
🌟	ځلانده ستوری
🌠	د ډزو ستوری
☁️	ورېځ
☁	ورېځ
⛅	لمر د ورېځې شاته
⛈️	ورېځ د برېښنا او باران سره
⛈	ورېځ د برېښنا او باران سره
🌤️	لمر د کوچني ورېځې شاته
🌤	لمر د کوچني ورېځې شاته
🌥️	لمر د لوی ورېځې شاته
🌥	لمر د لوی ورېځې شاته
🌦️	لمر د باران ورېځې شاته
🌦	لمر د باران ورېځې شاته
🌧️	ورېځ له باران سره
🌧	ورېځ له باران سره
🌨️	ورېځ له واورې سره
🌨	ورېځ له واورې سره
🌩️	ورېځ له برېښنا سره
🌩	ورېځ له برېښنا سره
🌪️	طوفان
🌪	طوفان
🌫️	ورګ
🌫	ورګ
🌬️	باد مخ
🌬	باد مخ
🌀	سایکلون
🌈	رینبو
🌂	تړل شوې چترۍ
☂️	چترۍ
☂	چترۍ
☔	د باران څاڅکو سره چترۍ
⛱️	چترۍ پر ځمکه
⛱	چترۍ پر ځمکه
⚡	لوړ ولتاژ
❄️	واوره
❄	واوره
☃️	واوره مین
☃	واوره مین
⛄	واوره پرته واوره
☄️	کوميټ
☄	کوميټ
🔥	اور
💧	څاڅکی
🌊	د اوبو څپې
🎃	جیک او لالټین
🎄	د کرسمس ونه
🎆	اور وژنې
🎇	چمکونکی
🧨	اور اچوونکی
✨	چمکۍ
🎈	بالون
🎉	ګوند پاپر
🎊	کنفټي بال
🎋	tanabata ونه
🎍	د انارو سينګار
🎎	جاپاني ګولۍ
🎏	carp streamer
🎐	د باد غږ
🎑	د سپوږمۍ لیدو مراسم
🧧	سور لفافه
🎀	ربن
🎁	پوښل شوې ډالۍ
🎗️	د یادونې ربن
🎗	د یادونې ربن
🎟️	د داخلې ټکټونه
🎟	د داخلې ټکټونه
🎫	ټکټ
🎖️	پوځي مډال
🎖	پوځي مډال
🏆	ټرافي
🏅	د سپورت مډال
🥇	لومړی مقام مډال
🥈	د دوهم مقام مډال
🥉	د دریم مقام مډال
⚽	د فوټبال بال
⚾	بیسبال
🥎	سافټبال
🏀	باسکیټبال
🏐	والیبال
🏈	امریکایي فوټبال
🏉	رګبي فوټبال
🎾	ټینس
🥏	د الوتنې ډیسک
🎳	توپ وهنه
🏏	د کرکټ لوبه
🏑	میدان هاکي
🏒	د یخ هاکي
🥍	لاکروس
🏓	پینګ پونګ
🏸	بیډمنټن
🥊	د سوک وهنې دستکشې
🥋	د مارشل آرټ یونیفورم
🥅	هدف جال
⛳	بیرغ په سوري کې
⛸️	آیس سکیټ
⛸	آیس سکیټ
🎣	د کب نیولو قطب
🎽	د چلولو کميس
🎿	سکی
🛷	سلیج
🥌	کرینګ ډبره
🎯	مستقیم برید
🎱	حوض 8 بال
🔮	کرسټال بال
🧿	نظر تعویذ
🎮	ویډیو لوبه
🕹️	joystick
🕹	joystick
🎰	سلاټ ماشین
🎲	لوبه مړ
🧩	جیګس
🧸	نانځکه ییږه
♠️	سپیډ سوټ
♠	سپیډ سوټ
♥️	د زړه جامې
♥	د زړه جامې
♦️	د الماس جامې
♦	د الماس جامې
♣️	د کلب سوټ
♣	د کلب سوټ
♟️	د شطرنج پیاده
♟	د شطرنج پیاده
🃏	جوکر
🀄	مهجونګ سور ډریگن
🎴	د ګلونو لوبې کول
🎭	د ترسره کولو هنرونه
🖼️	چوکاټ شوی انځور
🖼	چوکاټ شوی انځور
🎨	د هنرمند پیلټ
🧵	تار
🧶	سوت
🔇	خاموش سپیکر
🔈	د سپیکر ټیټ حجم
🔉	د سپیکر منځنی حجم
🔊	د سپیکر لوړ حجم
📢	لوډ سپیکر
📣	میګافون
📯	پوستی سینګ
🔔	زنګ
🔕	زنګ د سلیش سره
🎼	میوزیک سکور
🎵	میوزیک یادښت
🎶	میوزیک یادښتونه
🎙️	سټوډیو مایکروفون
🎙	سټوډیو مایکروفون
🎚️	د کچې سلائیڈر
🎚	د کچې سلائیڈر
🎛️	د کنټرول غوټۍ
🎛	د کنټرول غوټۍ
🎤	مایکروفون
🎧	هیډفون
📻	راډیو
🎷	ساکسفون
🎸	ګیتار
🎹	میوزیک کیبورډ
🎺	ټرمپ
🎻	وایلین
🥁	ډول
📱	ګرځنده ټېلیفون
📲	د تیر سره ګرځنده تلیفون
☎️	ټیلیفون
☎	ټیلیفون
📞	ټیلیفون اخیستونکی
📟	پاڼه
📠	د فکس ماشین
🔋	بیټرۍ
🔌	بریښنایی پلګ
💻	لپ ټاپ کمپیوټر
🖥️	ډیسټاپ کمپیوټر
🖥	ډیسټاپ کمپیوټر
🖨️	چاپګر
🖨	چاپګر
⌨️	کیبورډ
⌨	کیبورډ
🖱️	د کمپیوټر موږک
🖱	د کمپیوټر موږک
🖲️	ټریکبال
🖲	ټریکبال
💽	د کمپیوټر ډیسک
💾	فلاپي ډیسک
💿	نظری ډیسک
📀	ډي وي ډي
🧮	اباکوس
🎥	د فلم کیمره
🎞️	د فلم چوکاټونه
🎞	د فلم چوکاټونه
📽️	د فلم پروجیکٹر
📽	د فلم پروجیکٹر
🎬	د کلیپر تخته
📺	تلویزیون
📷	کمره
📸	کیمره د فلش سره
📹	ویډیو کیمره
📼	ویډیو کیسټ
🔍	میګنیفاینګ شیشې کیڼ لور ته ځړول
🔎	د میګنیفاینګ شیشې ښي خوا ته ځړول
🕯️	شمع
🕯	شمع
💡	د بریښنا څراغ
🔦	فلش لائټ
🏮	سور کاغذ لالټین
📔	نوټ بوک د آرائشی پوښ سره
📕	تړل شوی کتاب
📖	خلاص کتاب
📗	شنه کتاب
📘	نیلي کتاب
📙	نارنجي کتاب
📚	کتابونه
📓	نوټ بوک
📒	حساب کتاب
📃	پاڼه د curl سره
📜	سکرول
📄	مخ مخ ته
📰	ورځپاڼه
🗞️	کښل شوې ورځپاڼه
🗞	کښل شوې ورځپاڼه
📑	د بک مارک ټبونه
🔖	بک مارک
🏷️	لیبل
🏷	لیبل
💰	د پیسو کڅوړه
💴	د ین بانک نوټ
💵	ډالر بانک نوټ
💶	یورو بانک نوټ
💷	د پونډ بانک نوټ
💸	پیسې د وزرونو سره
💳	باور كارت
🧾	رسید
💹	چارټ د ین سره زیاتوالی
💱	د اسعارو تبادله
💲	د درنو ډالرو نښه
✉️	لفافه
✉	لفافه
📧	برېښناليک
📨	راتلونکی لفافه
📩	د تیر سره لفافه
📤	د بهر بکس ټری
📥	د انباکس ټری
📦	بسته
📫	تړل شوی میل باکس د پورته شوي بیرغ سره
📪	تړل شوی میل باکس د ښکته بیرغ سره
📬	د پورته شوي بیرغ سره میل باکس خلاص کړئ
📭	د ښکته شوي بیرغ سره میل باکس خلاص کړئ
📮	ډاګ خونه
🗳️	د رای ورکولو صندوق د رای پاڼې سره
🗳	د رای ورکولو صندوق د رای پاڼې سره
✏️	پنسل
✏	پنسل
✒️	تور نبات
✒	تور نبات
🖋️	فاؤنٹین قلم
🖋	فاؤنٹین قلم
🖊️	قلم
🖊	قلم
🖌️	د رنګ برش
🖌	د رنګ برش
🖍️	کریون
🖍	کریون
📝	یادداشت
💼	بریفکیس
📁	د فایل فولډر
📂	د فایل فولډر خلاص کړئ
🗂️	د کارت شاخص ویشونکي
🗂	د کارت شاخص ویشونکي
📅	تقویم
📆	د ختمولو کیلنڈر
🗒️	سرپل نوټ پیډ
🗒	سرپل نوټ پیډ
🗓️	سرپل کیلنڈر
🗓	سرپل کیلنڈر
📇	د کارت شاخص
📈	چارټ زیاتوالی
📉	چارټ کمول
📊	بار چارټ
📋	کلپ بورډ
📌	پشپین
📍	ګردي پشپین
📎	کاغذ نيوونى
🖇️	تړل شوي کاغذ کلپونه
🖇	تړل شوي کاغذ کلپونه
📏	مستقیم حاکم
📐	مثلث واکمن
✂️	کینچی
✂	کینچی
🗃️	د کارت فایل بکس
🗃	د کارت فایل بکس
🗄️	د فایل کابینه
🗄	د فایل کابینه
🗑️	د کثافاتو ټوکر
🗑	د کثافاتو ټوکر
🔒	تړل شوی
🔓	خلاص شوی
🔏	د قلم سره تړل
🔐	د کیلي سره تړل شوی
🔑	کلید
🗝️	زوړ کیلي
🗝	زوړ کیلي
🔨	هامر
⛏️	غوره کول
⛏	غوره کول
⚒️	هامر او غوره کړئ
⚒	هامر او غوره کړئ
🛠️	هامر او رنچ
🛠	هامر او رنچ
🗡️	خنجر
🗡	خنجر
⚔️	تیرې شوې تورې
⚔	تیرې شوې تورې
🔫	تومانچه
🏹	لېنده او غشی
🛡️	ډال
🛡	ډال
🔧	رنچ
🔩	مغز او بولټ
⚙️	ګیر
⚙	ګیر
🗜️	کلپ
🗜	کلپ
⚖️	د توازن اندازه
⚖	د توازن اندازه
🔗	لینک
⛓️	زنځیرونه
⛓	زنځیرونه
🧰	اوزار بکس
🧲	مقناطیس
⚗️	الیمبیک
⚗	الیمبیک
🧪	ټیسټ ټیوب
🧫	پیټری ډش
🧬	dna
🔬	مایکروسکوپ
🔭	دوربین
📡	سپوږمکۍ انتن
💉	سرنج
💊	ګولۍ
🚪	دروازه
🛏️	بستر
🛏	بستر
🛋️	صوفه او څراغ
🛋	صوفه او څراغ
🚽	تشناب
🚿	شاور
🛁	تشناب
🧴	د لوشن بوتل
🧷	خوندیتوب پن
🧹	جروم
🧺	ټوکرۍ
🧻	د کاغذ رول
🧼	صابون
🧽	سپنج
🧯	اور وژونکی
🛒	د سودا لاس ګاډی
🚬	سګرټ
⚰️	تابوت
⚰	تابوت
⚱️	د جنازې زنګ
⚱	د جنازې زنګ
🗿	moai
🏧	د ATM نښه
🚮	کثافات په بن کې نښه
🚰	د څښاک اوبه
♿	د ویلچیر سمبول
🚹	د نارینه کوټه
🚺	د ښځو کوټه
🚻	تشناب
🚼	د ماشوم سمبول
🚾	د اوبو الماری
🛂	د پاسپورټ کنټرول
🛃	ګمرك
🛄	د سامان ادعا
🛅	پاتې سامان
⚠️	خبرداری
⚠	خبرداری
🚸	ماشومان تیریږي
⛔	ننوتل منعه دي
🚫	منع شوی
🚳	بایسکلانو ته اجازه نشته
🚭	سګرټ څکول منع دي
🚯	کثافات نشته
🚱	غیر څښاک اوبه
🚷	پیاده منع دي
📵	ګرځنده تلیفونونه نشته
🔞	هیڅوک د اتلس کلونو څخه کم نه وي
☢️	راډیو اکټیف
☢	راډیو اکټیف
☣️	حیاتي خطر
☣	حیاتي خطر
⬆️	پورته تیر
⬆	پورته تیر
↗️	پورته ښي تیر
↗	پورته ښي تیر
➡️	ښي تیر
➡	ښي تیر
↘️	ښکته - ښیې تیر
↘	ښکته - ښیې تیر
⬇️	ښکته تیر
⬇	ښکته تیر
↙️	کیڼ اړخ ته ښکته تیر
↙	کیڼ اړخ ته ښکته تیر
⬅️	کیڼ تیر
⬅	کیڼ تیر
↖️	پورته کیڼ اړخ ته تیر
↖	پورته کیڼ اړخ ته تیر
↕️	پورته ښکته تیر
↕	پورته ښکته تیر
↔️	کیڼ ښی تیر
↔	کیڼ ښی تیر
↩️	ښي تیر کیڼ اړخ ته وګرځي
↩	ښي تیر کیڼ اړخ ته وګرځي
↪️	کیڼ تیر ښي خوا ته وګرځي
↪	کیڼ تیر ښي خوا ته وګرځي
⤴️	ښي تیر مخ پورته کیږي
⤴	ښي تیر مخ پورته کیږي
⤵️	ښي تیر ښکته ښکته کیږي
⤵	ښي تیر ښکته ښکته کیږي
🔃	د ساعت په لور عمودی تیرونه
🔄	د ساعت په مقابل کې د تیر تڼۍ
🔙	شاته تیر
🔚	د پای تیر
🔛	تیر تیر
🔜	SOON تیر
🔝	پورته تیر تیر
🛐	د عبادت ځای
⚛️	اتوم سمبول
⚛	اتوم سمبول
🕉️	اوم
🕉	اوم
✡️	د ډیویډ ستوری
✡	د ډیویډ ستوری
☸️	د مذهب څرخ
☸	د مذهب څرخ
☯️	ین یانګ
☯	ین یانګ
✝️	لاتیني کراس
✝	لاتیني کراس
☦️	ارتودوکس کراس
☦	ارتودوکس کراس
☪️	ستوری او قمری
☪	ستوری او قمری
☮️	د سولې سمبول
☮	د سولې سمبول
🕎	menorah
🔯	نقطه شپږ نقطه ستوری
♈	آریز
♉	توره
♊	Gemini
♋	سرطان
♌	لیو
♍	ورګو
♎	لیبرا
♏	سکارپیو
♐	سګریټ
♑	مکروب
♒	Aquarius
♓	Pisces
⛎	اوفیوچوس
🔀	شفل ټریک تڼۍ
🔁	تکرار تڼۍ
🔂	یو واحد تڼۍ تکرار کړئ
▶️	د لوبې کولو تڼۍ
▶	د لوبې کولو تڼۍ
⏩	د ګړندي مخ په وړاندې تڼۍ
⏭️	د بل تعقیب تڼۍ
⏭	د بل تعقیب تڼۍ
⏯️	د پلی کولو یا بندولو تڼۍ
⏯	د پلی کولو یا بندولو تڼۍ
◀️	بیرته تڼۍ
◀	بیرته تڼۍ
⏪	ګړندی ریورس تڼۍ
⏮️	وروستی ټریک تڼۍ
⏮	وروستی ټریک تڼۍ
🔼	پورته تڼۍ
⏫	د چټک پورته تڼۍ
🔽	لاندې تڼۍ
⏬	د چټک ښکته تڼۍ
⏸️	د وقفې تڼۍ
⏸	د وقفې تڼۍ
⏹️	د بندولو تڼۍ
⏹	د بندولو تڼۍ
⏺️	د ثبت تڼۍ
⏺	د ثبت تڼۍ
⏏️	د وتلو تڼۍ
⏏	د وتلو تڼۍ
🎦	سینما
🔅	کم تڼۍ
🔆	روښانه تڼۍ
📶	د انتن بارونه
📳	د کمپن حالت
📴	ګرځنده تلیفون بند
♀️	ښځینه نښه
♀	ښځینه نښه
♂️	نارینه نښه
♂	نارینه نښه
⚕️	طبي سمبول
⚕	طبي سمبول
♾️	انفینٹی
♾	انفینٹی
♻️	د ریسایکل سمبول
♻	د ریسایکل سمبول
⚜️	fleur-de-lis
⚜	fleur-de-lis
🔱	د مثلث نښه
📛	نوم بیج
🔰	د پیل کونکي لپاره جاپاني سمبول
⭕	درنه لویه حلقه
✅	سپین درنه چک نښه
☑️	د رایو صندوق د چک سره
☑	د رایو صندوق د چک سره
✔️	دروند چک نښه
✔	دروند چک نښه
✖️	دروند ضرب x
✖	دروند ضرب x
❌	کراس نښه
❎	د کراس نښه تڼۍ
➕	د درنې جمع نښه
➖	د سخت منفي نښه
➗	د درنې ویش نښه
➰	کرلي لوپ
➿	دوه ګونی لوپ
〽️	د بدیل برخه نښه
〽	د بدیل برخه نښه
✳️	اته خبرې شوی ستوری
✳	اته خبرې شوی ستوری
✴️	اته ټکي لرونکی ستوری
✴	اته ټکي لرونکی ستوری
❇️	چمک
❇	چمک
‼️	دوه ګونی عجب نښه
‼	دوه ګونی عجب نښه
⁉️	د حیرانتیا پوښتنه نښه
⁉	د حیرانتیا پوښتنه نښه
❓	د پوښتنې نښه
❔	سپینه پوښتنه نښه
❕	سپین عجب نښه
❗	د تعجب نښه
〰️	ویی ډش
〰	ویی ډش
©️	د کاپی حق
©	د کاپی حق
®️	ثبت
®	ثبت
™️	سوداګریز نښه
™	سوداګریز نښه
#️⃣	کیپ: #
#⃣	کیپ: #
*️⃣	keycap: *
*⃣	keycap: *
0️⃣	کیپ: 0
0⃣	کیپ: 0
1️⃣	keycap: 1
1⃣	keycap: 1
2️⃣	keycap: 2
2⃣	keycap: 2
3️⃣	keycap: 3
3⃣	keycap: 3
4️⃣	کیپ: 4
4⃣	کیپ: 4
5️⃣	کیپ: 5
5⃣	کیپ: 5
6️⃣	کیپ: 6
6⃣	کیپ: 6
7️⃣	کیپ: 7
7⃣	کیپ: 7
8️⃣	کیپ: 8
8⃣	کیپ: 8
9️⃣	کیپ: 9
9⃣	کیپ: 9
🔟	کیپ: 10
💯	سل ټکي
🔠	د لاتین لوی توری داخل کړئ
🔡	لاتیني لوټکیس داخل کړئ
🔢	شمیرې داخل کړئ
🔣	د ننوتلو سمبولونه
🔤	لاتیني توري داخل کړئ
🅰️	تڼۍ (د وینې ډول)
🅰	تڼۍ (د وینې ډول)
🆎	AB تڼۍ (د وینې ډول)
🅱️	B تڼۍ (د وینې ډول)
🅱	B تڼۍ (د وینې ډول)
🆑	د CL تڼۍ
🆒	COOL تڼۍ
🆓	وړیا تڼۍ
ℹ️	معلومات
ℹ	معلومات
🆔	د ID تڼۍ
Ⓜ️	د م
Ⓜ	د م
🆕	نوې تڼۍ
🆖	د NG تڼۍ
🅾️	O تڼۍ (د وینې ډول)
🅾	O تڼۍ (د وینې ډول)
🆗	OK تڼۍ
🅿️	P تڼۍ
🅿	P تڼۍ
🆘	د SOS تڼۍ
🆙	د UP تڼۍ
🆚	د VS تڼۍ
🈁	جاپاني "دلته" تڼۍ
🈂️	د جاپاني "خدمت چارج" تڼۍ
🈂	د جاپاني "خدمت چارج" تڼۍ
🈷️	جاپاني "میاشتنۍ اندازه" تڼۍ
🈷	جاپاني "میاشتنۍ اندازه" تڼۍ
🈶	جاپاني "وړيا نه ده" تڼۍ
🈯	جاپاني "محفوظ" تڼۍ
🉐	د جاپاني "سوداګرۍ" تڼۍ
🈹	جاپاني "د تخفیف" تڼۍ
🈚	جاپاني "وړیا وړیا" تڼۍ
🈲	جاپاني "ممنوع" تڼۍ
🉑	د جاپاني "منلو وړ" تڼۍ
🈸	د جاپاني "اپلیکیشن" تڼۍ
🈴	د جاپاني "د درجې پاس کولو" تڼۍ
🈳	جاپاني "خالي" تڼۍ
㊗️	د جاپاني "مبارکۍ" تڼۍ
㊗	د جاپاني "مبارکۍ" تڼۍ
㊙️	جاپاني "پټ" تڼۍ
㊙	جاپاني "پټ" تڼۍ
🈺	جاپاني "د سوداګرۍ لپاره خلاص" تڼۍ
🈵	جاپاني "نه خالي ځای" تڼۍ
▪️	تور کوچنی مربع
▪	تور کوچنی مربع
▫️	سپین کوچنی مربع
▫	سپین کوچنی مربع
◻️	سپین متوسط مربع
◻	سپین متوسط مربع
◼️	تور متوسط مربع
◼	تور متوسط مربع
◽	سپین متوسط کوچنی مربع
◾	تور متوسط-کوچنی مربع
⬛	تور لوی مربع
⬜	سپین لوی مربع
🔶	لوی نارنجي الماس
🔷	لوی نیلي الماس
🔸	کوچنی نارنجي الماس
🔹	کوچنی نیلي الماس
🔺	سور مثلث پورته شو
🔻	سور مثلث ښکته په ګوته شوی
💠	الماس د یوې نقطې سره
🔘	د راډیو تڼۍ
🔲	تور مربع تڼۍ
🔳	سپین مربع تڼۍ
⚪	سپینه دایره
⚫	تور حلقه
🔴	سور حلقه
🔵	نیلي حلقه
🏁	چک شوی بیرغ
🚩	مثلث بیرغ
🎌	تیر شوي بیرغونه
🏴	تور بیرغ
🏳️	سپین بیرغ
🏳	سپین بیرغ
🏳️‍🌈	رینبو بیرغ
🏳‍🌈	رینبو بیرغ
🏴‍☠️	د سمندري غلو بیرغ
🏴‍☠	د سمندري غلو بیرغ
🇦🇨	Ascension ټاپو
🇦🇩	اندورا
🇦🇪	متحده عربي امارات
🇦🇫	افغانستان
🇦🇬	انټيګوا او باربودا
🇦🇮	انګیلا
🇦🇱	البانیا
🇦🇲	ارمنستان
🇦🇴	انګولا
🇦🇶	انټارکټیکا
🇦🇷	ارژنټاین
🇦🇸	امریکایی ساموا
🇦🇹	آسټریا
🇦🇺	آسټرالیا
🇦🇼	آروبا
🇦🇽	اولنډ ټاپوګان
🇦🇿	آزربایجان
🇧🇦	بوسنیا او هرزیګوینا
🇧🇧	باربادوس
🇧🇩	بنګله دیش
🇧🇪	بیلجیم
🇧🇫	بورکینا فاسو
🇧🇬	بلغاریه
🇧🇭	بحرین
🇧🇮	بروندي
🇧🇯	بینن
🇧🇱	سینټ بارتیلیمي
🇧🇲	برمودا
🇧🇳	برویني
🇧🇴	بولیویا
🇧🇶	کارابین هالنډ
🇧🇷	برازیل
🇧🇸	باهاما
🇧🇹	بوټان
🇧🇻	بوویټ ټاپو
🇧🇼	بوتسوانه
🇧🇾	بیلاروس
🇧🇿	بلیز
🇨🇦	کاناډا
🇨🇨	کوکوس (کیلینګ) ټاپوګان
🇨🇩	کانګو - کنشاسا
🇨🇫	د مرکزي افریقا جمهوریت
🇨🇬	کانګو - Brazzaville
🇨🇭	سویزرلینډ یا سویس
🇨🇮	د عاج ساحل
🇨🇰	کوک ټاپوګان
🇨🇱	چیلي
🇨🇲	کامرون
🇨🇳	چین
🇨🇴	کولمبیا
🇨🇵	کلیپرټن ټاپو
🇨🇷	کوسټاریکا
🇨🇺	کیوبا
🇨🇻	کیپ ورد
🇨🇼	کورکاو
🇨🇽	د کرسمس ټاپو
🇨🇾	سیپروس
🇨🇿	چکچیا
🇩🇪	جرمني
🇩🇬	ډیاګو ګارسیا
🇩🇯	جی بوتي
🇩🇰	ډینمارک
🇩🇲	دومینیکا
🇩🇴	دومینیکا جمهوریت
🇩🇿	الجزایر
🇪🇦	Ceuta & Melilla
🇪🇨	اکوادور
🇪🇪	استونیا
🇪🇬	مصر
🇪🇭	لویدیځ صحارا
🇪🇷	اریتره
🇪🇸	هسپانیه
🇪🇹	ایتوپیا
🇪🇺	اروپايي ټولنه
🇫🇮	فینلینډ
🇫🇯	في جي
🇫🇰	فاکلنډ ټاپوګان
🇫🇲	میکرونیزیا
🇫🇴	د فارو ټاپو
🇫🇷	فرانسه
🇬🇦	ګابن
🇬🇧	انګلستان
🇬🇩	ګرنادا
🇬🇪	ګرجستان
🇬🇫	فرانسوي ګیانا
🇬🇬	ګورنسي
🇬🇭	ګانا
🇬🇮	جبل الطارق
🇬🇱	ګرینلینډ
🇬🇲	ګامبیا
🇬🇳	ګینه
🇬🇵	ګواډیلوپ
🇬🇶	استوایی ګینه
🇬🇷	یونان
🇬🇸	جنوبي جورجیا او جنوبي سینڈوچ ټاپوګان
🇬🇹	ګواتمالا
🇬🇺	ګوام
🇬🇼	ګینه بیسو
🇬🇾	ګیانا
🇭🇰	هانګ کانګ SAR چین
🇭🇲	هرډ او مکډونالډ ټاپوګان
🇭🇳	هندوراس
🇭🇷	کرواثیا
🇭🇹	هایټي
🇭🇺	هنګري
🇮🇨	کانري ټاپوګان
🇮🇩	انډونیزیا
🇮🇪	ایرلینډ
🇮🇱	اسراییل
🇮🇲	د انسان ټاپو
🇮🇳	هند
🇮🇴	د برتانیا د هند سمندر سیمه
🇮🇶	عراق
🇮🇷	ایران
🇮🇸	آیلینډ
🇮🇹	ایټالیا
🇯🇪	جرسي
🇯🇲	جمایکه
🇯🇴	اردن
🇯🇵	جاپان
🇰🇪	کینیا
🇰🇬	قرغیزستان
🇰🇭	کمبوډیا
🇰🇮	کیري باتي
🇰🇲	کوموروس
🇰🇳	سینټ کیټس او نیویس
🇰🇵	شمالي کوریا
🇰🇷	سویلي کوریا
🇰🇼	کویټ
🇰🇾	کیمان ټاپوګان
🇰🇿	قازقستان
🇱🇦	لاوس
🇱🇧	لبنان
🇱🇨	سینټ لوشیا
🇱🇮	لیختن اشتاین
🇱🇰	سري لنکا
🇱🇷	لیبریا
🇱🇸	لسوتو
🇱🇹	لیتوانیا
🇱🇺	لوګزامبورګ
🇱🇻	لتوني
🇱🇾	لیبیا
🇲🇦	مراکش
🇲🇨	موناکو
🇲🇩	مولدوا
🇲🇪	مونټینیګرو
🇲🇫	سینټ مارتین
🇲🇬	مدګاسکار
🇲🇭	مارشال ټاپو
🇲🇰	مقدونیه
🇲🇱	مالي
🇲🇲	میانمار (برما)
🇲🇳	مغلستان
🇲🇴	مکاو SAR چین
🇲🇵	شمالي ماریانا ټاپو
🇲🇶	مارتینیک
🇲🇷	موریتانیا
🇲🇸	مانټیسیرت
🇲🇹	مالتا
🇲🇺	موریشیس
🇲🇻	مالدیو
🇲🇼	مالاوي
🇲🇽	میکسیکو
🇲🇾	ملایزیا
🇲🇿	موزمبیک
🇳🇦	نیمبیا
🇳🇨	نیو کالیډونیا
🇳🇪	نیجر
🇳🇫	نارفولک ټاپوګان
🇳🇬	نایجیریا
🇳🇮	نیکاراګوا
🇳🇱	هالینډ
