😀	ухилено лице
💆🏾‍♀	жена на масаж: средно тъмен цвят на кожата
💆🏿‍♀️	жена, която получава масаж: тъмна кожа
💆🏿‍♀	жена, която получава масаж: тъмна кожа
💇	човек, който се подстригва
💇🏻	лице, което се подстригва: светла кожа
💇🏼	човек, който се подстригва: средно светъл тен на кожата
💇🏽	човек, който се подстригва: среден тен на кожата
💇🏾	лице, което се подстригва: средно тъмен цвят на кожата
💇🏿	лице, което се подстригва: тъмна кожа
💇‍♂️	мъж се подстригва
💇‍♂	мъж се подстригва
💇🏻‍♂️	мъж, който се подстригва: светла кожа
💇🏻‍♂	мъж, който се подстригва: светла кожа
💇🏼‍♂️	мъж, който се подстригва: средно светъл тен на кожата
💇🏼‍♂	мъж, който се подстригва: средно светъл тен на кожата
💇🏽‍♂️	мъж, който се подстригва: среден цвят на кожата
💇🏽‍♂	мъж, който се подстригва: среден цвят на кожата
💇🏾‍♂️	мъж, който се подстригва: средно тъмен цвят на кожата
💇🏾‍♂	мъж, който се подстригва: средно тъмен цвят на кожата
💇🏿‍♂️	мъж, който се подстригва: тъмна кожа
💇🏿‍♂	мъж, който се подстригва: тъмна кожа
💇‍♀️	жена се подстригва
💇‍♀	жена се подстригва
💇🏻‍♀️	жена, която се подстригва: светла кожа
💇🏻‍♀	жена, която се подстригва: светла кожа
💇🏼‍♀️	жена, която се подстригва: средно светъл тен на кожата
💇🏼‍♀	жена, която се подстригва: средно светъл тен на кожата
💇🏽‍♀️	жена, която се подстригва: среден цвят на кожата
💇🏽‍♀	жена, която се подстригва: среден цвят на кожата
💇🏾‍♀️	жена, която се подстригва: средно тъмен цвят на кожата
💇🏾‍♀	жена, която се подстригва: средно тъмен цвят на кожата
💇🏿‍♀️	жена, която се подстригва: тъмна кожа
💇🏿‍♀	жена, която се подстригва: тъмна кожа
🚶	ходещ човек
🚶🏻	ходещ човек: светъл тен на кожата
🚶🏼	ходещ човек: средно светъл тен на кожата
🚶🏽	ходещ човек: среден тен на кожата
🚶🏾	ходещ човек: средно тъмен цвят на кожата
🚶🏿	ходещ човек: тъмна кожа
🚶‍♂️	човек върви
🚶‍♂	човек върви
🚶🏻‍♂️	ходещ мъж: светъл тен на кожата
🚶🏻‍♂	ходещ мъж: светъл тен на кожата
🚶🏼‍♂️	ходещ мъж: средно светъл тен на кожата
🚶🏼‍♂	ходещ мъж: средно светъл тен на кожата
🚶🏽‍♂️	мъж, който върви: среден цвят на кожата
🚶🏽‍♂	мъж, който върви: среден цвят на кожата
🚶🏾‍♂️	вървящ мъж: средно тъмен цвят на кожата
🚶🏾‍♂	вървящ мъж: средно тъмен цвят на кожата
🚶🏿‍♂️	мъж, който върви: тъмна кожа
🚶🏿‍♂	ходещ мъж: тъмен цвят на кожата
🚶‍♀️	ходеща жена
🚶‍♀	ходеща жена
🚶🏻‍♀️	ходеща жена: светла кожа
🚶🏻‍♀	ходеща жена: светла кожа
🚶🏼‍♀️	ходеща жена: средно светъл тен на кожата
🚶🏼‍♀	ходеща жена: средно светъл тен на кожата
🚶🏽‍♀️	ходеща жена: среден цвят на кожата
🚶🏽‍♀	ходеща жена: среден цвят на кожата
🚶🏾‍♀️	ходеща жена: средно тъмен цвят на кожата
🚶🏾‍♀	ходеща жена: средно тъмен цвят на кожата
🚶🏿‍♀️	ходеща жена: тъмна кожа
🚶🏿‍♀	ходеща жена: тъмна кожа
🏃	бягащ човек
🏃🏻	тичащ човек: светъл тен на кожата
🏃🏼	тичащ човек: средно светъл тен на кожата
🏃🏽	тичащ човек: среден тен на кожата
🏃🏾	тичащ човек: средно тъмен цвят на кожата
🏃🏿	тичащ човек: тъмна кожа
🏃‍♂️	човек тича
🏃‍♂	човек тича
🏃🏻‍♂️	тичащ мъж: светла кожа
🏃🏻‍♂	тичащ мъж: светла кожа
🏃🏼‍♂️	тичащ мъж: средно светъл тен на кожата
🏃🏼‍♂	тичащ мъж: средно светъл тен на кожата
🏃🏽‍♂️	тичащ мъж: среден цвят на кожата
🏃🏽‍♂	тичащ мъж: среден цвят на кожата
🏃🏾‍♂️	тичащ мъж: средно тъмен цвят на кожата
